Data,JzCode,FullName,TableColumns
core_cpi,JZ0001000,CPI:不包括食品和能源(核心CPI):当月同比,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
housing_surface_sold,JZ0001001,商品房销售面积累计,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
price_index_70,JZ0001002,70个大中城市二手住宅价格指数:当月同比,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
investment_assets_cv,JZ0001003,固定资产投资完成额:累计值,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
investment_assets_cy,JZ0001004,固定资产投资完成额:累计同比,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
certificate_deposi_yield,JZ0001005,同业存单到期收益率(AAA):1年,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
medium_term_lending,JZ0001006,中期借贷便利(MLF):利率:1年,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
reverse_repo_rate_7,JZ0001007,逆回购利率:7天,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
rmb_deposit_reserve,JZ0001008,人民币存款准备金率:中小型存款类金融机构(变动公告日期),"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
national_debt_index_10,JZ0001009,中债10年期国债净价指数,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
national_debt_index_5,JZ0001010,中债5年期国债净价指数,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
newly_fund_shares_stock,JZ0001011,新成立基金份额:偏股型,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
cn_pmi,JZ0001012,PMI中国制造业,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
m2_data,JZ0001013,M2同比,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
m1_data,JZ0001014,M1同比,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
sz_hk_transaction_statistics,JZ0001015,深港通,"CurDate,SZTotalAmount,SZBuyAmount,SZSellAmount,SZNetPurchases,SZCumulativeNetBought,HKTotalAmount,HKBuyAmount,HKSellAmount,HKNetPurchases,HKCumulativeNetBought,Type,FullName"
sh_hk_transaction_statistics,JZ0001016,沪港通,"CurDate,SHTotalAmount,SHBuyAmount,SHSellAmount,SHNetPurchases,SHCumulativeNetBought,HKTotalAmount,HKBuyAmount,HKSellAmount,HKNetPurchases,HKCumulativeNetBought,Type,FullName"
cnyx_cni,JZ0001017,人民币汇率指数,"CurDate,OpenPrice,HighPrice,LowPrice,ClosePrice,Type,FullName"
ppi_industry,JZ0001018,PPI:全部工业品,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
cpi,JZ0001019,CPI:当月同比,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
nh_industry_index,JZ0001020,南华工业品指数,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
nh_composite_index,JZ0001021,南华综合指数,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
cn_pmi_new_order,JZ0001022,PMI:新订单,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
cn_pmi_inventory,JZ0001023,PMI:产成品库存,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
cn_rscg,JZ0001024,社会消费品零售总额当月同比,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
cn_industrial_added_value,JZ0001025,工业增加值环比季调,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
cn_export_value,JZ0001026,出口金额:当月同比,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
credit_aaa_bond_rate,JZ0001027,中债中短期票据到期收益率(AAA):5年,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
cn_rediscount_rate,JZ0001028,国股银票转贴现收益率3月,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
usd_cny,JZ0001029,中间价:美元兑人民币,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
margin_debt,JZ0001030,融资余额,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
financial_institutions_loan,JZ0001031,金融机构人民币贷款余额,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
financial_institutions_ml_term_loan,JZ0001032,金融机构:新增人民币贷款:企(事)业单位:中长期:当月值,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
financial_institutions_newly_loan_value,JZ0001033,金融机构新增人民币贷款票据融资当月值,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
us_vix,JZ0001034,美国标准普尔500波动率指数(VIX),"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
financing_purchase_amount,JZ0001035,融资买入额,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
sse_trade_amount,JZ0001036,上证所A股成交金额,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
szse_trade_amount,JZ0001037,深交所股票成交金额,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
shibor_3m,JZ0001038,上海银行间同业拆放利率3月,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
sh_financing_purchase_amount,JZ0001039,沪市:融资买入额,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
sz_financing_purchase_amount,JZ0001040,深市:融资买入额,"CurDate,Value,Para,FullName,Name,Type,UpdateTime"
